"ID";"ID Imagen";"Personajes_ID";"Principal";"Gestos Centrales";"Gestos Mano Rostro";"Otros gestos";"Relaciones Corporales";"Sentimientos_ID";"Acciones_ID";"Atributos_ID";"Vestidos_ID";"Edades_ID";"Géneros_ID"
2657;5669;45;0;;;;;;;;;;
2658;5369;45;0;;;;;;;;;;
2659;819;46;0;;;;;;;;;;
2660;3919;47;0;;;;;;;;;;
2661;7762;49;0;;;;;;;;;;
2662;394;50;0;;;;;;;;;;
2663;1253;51;0;;;;;;;;;;
2664;2913;52;0;;;;;;;;;;
2665;5916;52;0;;;;;;;;;;
2666;5918;52;0;;;;;;;;;;
2667;5926;52;0;;;;;;;;;;
2668;2909;53;0;;;;;;;;;;
2669;3296;54;0;;;;;;;;;;
2670;1267;55;0;;;;;;;;;;
2671;5812;58;0;;;;;;;;;;
2672;4350;59;0;;;;;;;;;;
2673;6122;60;0;;;;;;;;;;
2674;2274;61;0;;;;;;;;;;
2675;2299;64;0;;;;;;;;;;
2676;5210;64;0;;;;;;;;;;
2677;3309;65;0;;;;;;;;;;
2678;4677;66;0;;;;;;;;;;
2679;5307;67;0;;;;;;;;;;
2680;820;68;0;;;;;;;;;;
2681;5192;69;0;;;;;;;;;;
2682;192;70;0;;;;;;;;;;
2683;291;70;0;;;;;;;;;;
2684;3902;71;0;;;;;;;;;;
2685;2648;72;0;;;;;;;;;;
2686;1892;73;0;;;;;;;;;;
2687;1250;74;0;;;;;;;;;;
2688;3098;75;0;;;;;;;;;;
2689;766;75;0;;;;;;;;;;
2690;1334;75;0;;;;;;;;;;
2691;4188;76;0;;;;;;;;;;
2692;1253;77;0;;;;;;;;;;
2693;7943;78;0;;;;;;;;;;
2694;284;79;0;;;;;;;;;;
2695;1092;80;0;;;;;;;;;;
2696;6482;82;0;;;;;;;;;;
2697;3098;82;0;;;;;;;;;;
2698;5680;82;0;;;;;;;;;;
2699;4679;83;0;;;;;;;;;;
2700;3144;84;0;;;;;;;;;;
2701;4485;84;0;;;;;;;;;;
2702;4829;84;0;;;;;;;;;;
2703;4962;84;0;;;;;;;;;;
2704;5154;84;0;;;;;;;;;;
2705;5676;85;0;;;;;;;;;;
2706;5917;89;0;;;;;;;;;;
2707;8934;89;0;;;;;;;;;;
2708;9124;89;0;;;;;;;;;;
2709;996;90;0;;;;;;;;;;
2710;2306;91;0;;;;;;;;;;
2711;2208;92;0;;;;;;;;;;
2712;1935;92;0;;;;;;;;;;
2713;2207;92;0;;;;;;;;;;
2714;5833;92;0;;;;;;;;;;
2715;5370;95;0;;;;;;;;;;
2716;5493;97;0;;;;;;;;;;
2717;3664;99;0;;;;;;;;;;
2718;2198;99;0;;;;;;;;;;
2719;3915;101;0;;;;;;;;;;
2720;3923;101;0;;;;;;;;;;
2721;2682;102;0;;;;;;;;;;
2722;478;103;0;;;;;;;;;;
2723;899;104;0;;;;;;;;;;
2724;1622;106;0;;;;;;;;;;
2725;1619;21;0;;;;;;;;;;
2726;1398;21;0;;;;;;;;;;
2727;4667;107;0;;;;;;;;;;
2728;4676;108;0;;;;;;;;;;
2729;4729;109;0;;;;;;;;;;
2730;4681;110;0;;;;;;;;;;
2731;4675;111;0;;;;;;;;;;
2732;4683;284;0;;;;;;;;;;
2733;4671;112;0;;;;;;;;;;
2734;1250;114;0;;;;;;;;;;
2735;480;116;0;;;;;;;;;;
2736;731;116;0;;;;;;;;;;
2737;1136;116;0;;;;;;;;;;
2738;1901;116;0;;;;;;;;;;
2739;3660;116;0;;;;;;;;;;
2740;4811;116;0;;;;;;;;;;
2741;7927;116;0;;;;;;;;;;
2742;9237;116;0;;;;;;;;;;
2743;9275;116;0;;;;;;;;;;
2744;136;117;0;;;;;;;;;;
2745;2211;119;0;;;;;;;;;;
2746;2218;119;0;;;;;;;;;;
