"nombredes";"ID"
"Papa, rey.";516
"Papa/Compañia de Jesús";517
"Parabola/sermón";518
"Pasión";519
"Pasión Cristo";520
"Pasión de Cristo";521
"Patria/santo";522
"Patrocinio";523
"pecado";524
"Pecador";525
"Pecados, Cavernas";526
"Pena";527
"Pensante";528
"Pergaminos";529
"Perro";530
"Perros";531
"Piedad";532
"Pintura dorada";533
"Pintura dorada/ Pretendiente rechazado";534
"Plamas del martirio";535
"Plataforma celeste/coronas de rosas";536
"Plato";537
"Plato con guante y joyas";538
"Plato con jarra";539
"Plumario";540
"Pobres";541
"Pobreza";542
"Política";543
"Polvo";544
"Posada";545
"Postestates";546
"Postrimería";547
"Postrimerias";548
"postrimerías";549
"Predicacion";550
"premonición de la pasión ";551
"Prendedor de cabello de la Virgen/ Mantilla sacerdote/ Pretendiente rechazado";552
"Prensa mística";553
"Preso/Alcalá";554
"Pretendiente";555
"Pretendiente rechazado";556
"Pretendiente rechazado/libro";557
"Primavera";558
"Primeros Jesuitas (9)";559
"Principatus";560
"Procesión";561
"Prodigalidad";562
"Profesion/Sacerdote";563
"Purgatorio";564
"Putrefacción";565
"Querubines";566
"Rama de laurel";567
"Rama de olivo";568
"Rama de palmera";569
"Ramo";570
"Ramo de flores";571
"Recien nacida";572
"Recipiente";573
"recoge las vestiduras";574
"Rector le pide perdon";575
"Redención";576
"Redondel rojo sobre sacerdote";577
"Regreso";578
"Reloj";579
"Resurrección";580
"Retrato";581
"Retrato Jesús ecce-homo";582
"Retrato Santo";583
"Rey";584
"Rico";585
"Riqueza";586
"Ropas y bolso indígena";587
"Rueda";588
"Sabio";589
"Sacerdote";590
"Sacerdote/ Quito/Hernando de la Cruz";591
"SACRA";592
"Sacramento";593
"Sagrada Familia";594
"sagrado corazón";595
"Sagrado Rostro";596
"Salamanca";597
"Salvación";598
"San Agustin y Santa Teresa";599
"San Felipe Neri";600
"San Francisco";601
"San Francisco de Asis";602
"San Francisco Javier";603
"San Gabriel arcangel";604
"San Ignacio";605
"San Ignacio de Loyola";606
"San Ignacio de Loyola/San Francisco Javier/Santa Gertrudis?";607
"San Jerónimo";608
"San Joaquin";609
"San Joaquín";610
"San Joaquin y Santa Ana";611
"San Joaquín y Santa Ana/Esconchado";612
"San Joaquín/Aureolas y traje con hojilla de oro";613
"San Joaquín/Joven";614
"San José";615
"San Juan Bauitsta/ Angel";616
"San Juan Bautista";617
"San Juan bautista Niño";618
"San Juan Bautista y Santa Isabel";619
"San Juan Bautista/ Espiritu santo";620
"San Luis gonzaga";621
"San Miguel";622
"San Miguel Arcángel";623
"San Nicolás de Tolentino";624
"San Pedro";625
"San Pedro Apostol";626
"San Zacarías";627
"Sangre de Cristo";628
"Santa Ana";629
"Santa Ana y San Joaquín";630
"Santa Ana/Aureolas y trajes con hojilla de oro";631
"Santa Ana/Mina";632
"Santa bebe del costado de cristo";633
"Santa Brígida";634
"Santa Caralina de Siena";635
"Santa Catalina de Siena";636
"Santa Cecilia";637
"Santa con emblemas";638
"Santa en oración";639
"Santa Gertrudis la Magna";640
"Santa Isabel y San Juan Bautista";641
"Santa Isabel, San Zacarías y San Juan Bautista";642
"Santa Niña";643
"Santa Rita de Casia";644
"Santa Rosa corta su cabello";645
"Santa Rosa de Lima";646
"Santa Rosa rechaza pretendiente";647
"Santa Rosalía";648
"Santa Teresa de Jesús";649
"Santas";650
"santas órdenes femininas";651
"Santisima Trinidad";652
"Santo con hermana";653
"Santo Domingo";654
"Santo Domingo y San Francisco";655
"Santo Tomas e Indigenas";656
"Santos";657
"Santos Fundadores";658
"Santos jesuitas";659
"SEA";660
"Sello JHS";661
"Sentencia Jesús";662
"Seraphim";663
"Serpiente/demonio";664
"Sevilla";665
"Sibila";666
"Silla/Trono sobre asno";667
"símbolos de la pasión";668
"Símbolos marianos";669
"símbolos pasión";670
"Simio rey";671
"Simios";672
"Sócrates";673
"Sol y Luna";674
"Sombrero de plumas";675
"Sombrero María, aureolsa doradas";676
"Sueño";677
"Sueño José";678
"Taller";679
"Tambor";680
"Tentación";681
"Tiara imperial y llaves de San Pedro";682
"Tiempo";683
"Tierra Santa";684
"Torre";685
"Tortuga";686
"Torturas";687
"Torturas y pecados";688
"Torturas, Indígenas y demonios";689
"Torturas, Pecados";690
"Trabajo";691
"Traje colonial";692
"Traje colonial/reyes";693
"Traje medieval";694
"Traje renancetista/Detalle";695
"Traje y sombrero";696
"Traje y sombrero renacentista de la Virgen";697
"Trajes con estampados de flores";698
"Trajes españoles";699
"Trajes moriscos/renacentistas";700
"Trajes renacentistas/corona de flores de María";701
"Trajes renacentistas/corona de María";702
"Transfiguración";703
"Transfiguración del rostro";704
"Trifacial";705
"Trinidad";706
"Trinidad y angeles";707
"Trinidad/Guadalupana";708
"Trinidad/sello IHS";709
"Tristeza por muerte";710
"Trnidad";711
"Trono";712
"Última cena";713
"Uvas";714
"Uvas.";715
"Vaca/Casa/Garzas";716
"Vanidad";717
"Vanitas";718
"Vara florida";719
"Vara flroida";720
"Varias escenas";721
"vencimiento del mal";722
"Venecia";723
"Veneración santo";724
"Vestido quiteño";726
"Vía purgativa";727
"vicios";729
"Vida santa";730
"Vidrio";731
"Villa europea";732
"Villalpando";733
"Virgen";734
"Virgen Apocalíptica";735
"Virgen con niño";736
"Virgen con sombrero";737
"Virgen de Guadalupe";738
"Virgen del Carmen";739
"Virgen del Carmen y San Francisco de Asis";740
"Virgen del Rosario";741
"Virgen Dolorosa";742
"Virgen Maria";743
"Virgen María";744
"Virgen María con NIño ";745
"Virgen Maria de Monserrat";746
"Virgen María y San José";747
"Virgen María.";748
"Virgen Maria/Ejercicios espirituales";749
"Virgen Maria/San Miguel arcangel";750
"Virgen Sol de Justicia";751
"Virgen y Angel";752
"Virgen y niño Jesús";753
"Virgen y San Jose";754
"Virgen/Demonio";755
"Virgen/Manresa";756
"Virtud";757
"Virtudes";758
"Virtudes Teologales";759
"Vision";761
"Visión";762
"Vision camino a Roma";763
"Vision de la batalla entre el ejercito de Dios y de Lucifer";764
"Visión de San Juan Evangelsita";765
"Visión Espiritu santo";766
"Visita Santos Lugares";767
"Y LA VIRGEN";768
"Castillo";769
"Candelaria";770
"Columna salomónica";771
"Báculo";772
"dorado";773
"Santa Clara";774
"Apóstoles";775
"tronos";776
