base;nombre;apellido
Henri-Joseph Johns;Henri-Joseph;Johns
Joshua Johnson;Joshua;Johnson
Henrietta De Beaulieu Dering Johnston;Henrietta De Beaulieu Dering;Johnston
John Johnston;John;Johnston
Matthew Harris Jouett;Matthew Harris;Jouett
Juan de Juanes;Juan de;Juanes
José Juárez;José;Juárez
Luis Juárez;Luis;Juárez
Tomás Julián;Tomás;Julián
Carlos Juliao;Carlos;Juliao
Juan José Jurado;Juan José;Jurado
William Keable;William;Keable
Frederick Kemmelmeyer;Frederick;Kemmelmeyer
Stephan Kessler;Stephan;Kessler
John Lewis Krimmel;John Lewis;Krimmel
Andrés Lagarto;Andrés;Lagarto
Luis Lagarto;Luis;Lagarto
Antonio José Landaeta;Antonio José;Landaeta
Juan José Landaeta;Juan José;Landaeta
Charles Paul Landon;Charles Paul;Landon
Gregorio José de Lara;Gregorio José de;Lara
Hernando de Lara;Hernando de;Lara
Tomás Lara;Tomás;Lara
Pierre Lavallé;Pierre;Lavallé
Bernardo Legarda;Bernardo;Legarda
José Legarda;José;Legarda
Lorenzo Tiburcio de León;Lorenzo Tiburcio de;León
Francisco de León;Francisco de;León
Francisco José de Lerma y Villegas;Francisco José de;Lerma y Villegas
Samuel Lewisl;Samuel;Lewisl
Lorenzo de Leyba;Lorenzo de;Leyba
Liborio Lázaro Lial;Liborio Lázaro;Lial
Andrés de Liébana;Andrés de;Liébana
Sherman Limner;Limner;Sherman
Joseph-Pierre Picot de Limoelan de Clorivière;Joseph-Pierre Picot de;Limoelan de Clorivière
Martín de Loayza;Martín de;Loayza
Simón Lobato;Simón;Lobato
Andrés José López;Andrés José;López
Carlos Clemente López;Carlos Clemente;López
Juan Pedro López;Juan Pedro;López
Andrés López;Andrés;López
Anselmo López;Anselmo;López
Carlos López;Carlos;López
Emanuel López;Emanuel;López
Jerónimo López;Jerónimo;López
Miguel López;Miguel;López
Vicente López;Vicente;López
Pedro López Calderón;Pedro;López Calderón
